Rossz,Szomszedos,Márc. 2--4.,Márc. 15--18.,Ápr. 13--15.,Ápr. 27. - máj. 1.,Máj. 4--6.,Máj. 11--13.,Máj. 18--20.,Máj. 25--27.,Jún. 1--3.,Jún. 8--10.,Jún. 15--17.,Jún. 18--22.,Jún. 22--24.
7,2,Kb,,Mongúz,Ka,,Zooey,Medve+Bébé,,Franny,,Lemur,,
7,2,Kb,,Mongúz,Ka,,Zooey,,Medve+Bébé,Franny,,Lemur,,
7,3,Kb,,Mongúz,,,Zooey,Medve+Bébé,Ka,Franny,,Lemur,,
7,4,Kb,,Mongúz,Ka,,Zooey,Lemur,Medve+Bébé,Franny,,,,
7,4,Kb,,Mongúz,Ka,,Zooey,Medve+Bébé,Lemur,Franny,,,,
7,4,,,Mongúz,Ka,,Zooey,Kb,Medve+Bébé,Franny,,Lemur,,
8,2,,,Mongúz,Ka,,Zooey,Medve+Bébé,,Franny,,Lemur,,Kb
8,2,,,Mongúz,Ka,,Zooey,,Medve+Bébé,Franny,,Lemur,,Kb
8,3,Kb,,,Ka,,Zooey,Lemur,Medve+Bébé,Franny,,Mongúz,,
8,3,Kb,,,Ka,,Zooey,Medve+Bébé,Lemur,Franny,,Mongúz,,
8,3,Kb,,,Ka,,Zooey,Mongúz,Medve+Bébé,Franny,,Lemur,,
8,3,Kb,,Mongúz,,,Zooey,Ka,Medve+Bébé,Franny,,Lemur,,
8,3,,,Mongúz,,,Zooey,Medve+Bébé,Ka,Franny,,Lemur,,Kb
8,3,Kb,,Mongúz,,,Zooey,Medve+Bébé,,Franny,Ka,Lemur,,
8,3,Kb,,Mongúz,,,Zooey,,Medve+Bébé,Franny,Ka,Lemur,,
8,3,Kb,,Mongúz,Ka,,,Lemur,Medve+Bébé,Franny,,Zooey,,
8,3,Kb,,Mongúz,Ka,,,Medve+Bébé,Lemur,Franny,,Zooey,,
8,4,,,Kb,Ka,,Zooey,Lemur,Medve+Bébé,Franny,,Mongúz,,
8,4,,,Kb,Ka,,Zooey,Medve+Bébé,Lemur,Franny,,Mongúz,,
8,4,,,Kb,Ka,,Zooey,Mongúz,Medve+Bébé,Franny,,Lemur,,
8,4,,,Mongúz,Ka,,Zooey,Medve+Bébé,Kb,Franny,,Lemur,,
8,4,,,Mongúz,Ka,,Zooey,Lemur,Medve+Bébé,Franny,,Kb,,
8,4,,,Mongúz,Ka,,Zooey,Medve+Bébé,Lemur,Franny,,Kb,,
8,4,,,Mongúz,Ka,,Zooey,Lemur,Medve+Bébé,Franny,,,,Kb
8,4,,,Mongúz,Ka,,Zooey,Medve+Bébé,Lemur,Franny,,,,Kb
8,4,Kb,,Mongúz,,,Zooey,Lemur,Medve+Bébé,Franny,Ka,,,
8,4,Kb,,Mongúz,,,Zooey,Medve+Bébé,Lemur,Franny,Ka,,,
8,5,,,Mongúz,,,Zooey,Kb,Medve+Bébé,Franny,Ka,Lemur,,
